"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"379","黄芪",143,3504,24.5034965034965
"300","藤梨根",150,2993,19.9533333333333
"320","蜜麸炒白术",158,2744,17.3670886075949
"46","半枝莲",125,2595,20.76
"296","薏苡仁(米仁)",103,2529,24.5533980582524
"70","大血藤(红藤)",138,2445,17.7173913043478
"215","白茯苓",146,2244,15.3698630136986
"343","野葡萄藤",105,2190,20.8571428571429
"19","党参",96,2070,21.5625
"321","蜜麸炒白芍",161,1918,11.9130434782609
"212","白花蛇舌草",92,1840,20
"22","六神曲炭",148,1827,12.3445945945946
"116","柴胡",164,1702,10.3780487804878
"66","夏枯草",104,1635,15.7211538461538
"274","苏败酱(败酱草)",129,1413,10.953488372093
"89","山药(生山药)",80,1370,17.125
"191","生丹参",82,1341,16.3536585365854
"233","石榴皮",82,1292,15.7560975609756
"356","陈皮",140,1166,8.32857142857143
"197","生山楂",76,1136,14.9473684210526
"361","首乌藤(夜交藤)",44,1135,25.7954545454545
"77","太子参",68,1073,15.7794117647059
"316","蜜麸山药",65,1023,15.7384615384615
"158","炒薏苡仁",40,999,24.975
"67","大枣",83,982,11.8313253012048
"103","当归",81,968,11.9506172839506
"118","桂枝",83,912,10.9879518072289
"144","火麻仁",36,871,24.1944444444444
"61","地黄",56,861,15.375
"200","生白术",49,836,17.0612244897959
"146","灵芝",60,828,13.8
"30","制半夏(姜半夏)",87,811,9.32183908045977
"288","莱菔子(炒)",74,799,10.7972972972973
"15","仙鹤草",37,735,19.8648648648649
"161","炒酸枣仁",36,728,20.2222222222222
"156","炒稻芽",34,726,21.3529411764706
"318","蜜麸炒枳壳(枳壳)",61,660,10.8196721311475
"290","菝葜",41,648,15.8048780487805
"231","石打穿",43,645,15
"189","甘草",102,637,6.24509803921569
"53","合欢皮",40,634,15.85
"329","赤芍",47,631,13.4255319148936
"56","土茯苓",40,615,15.375
"177","牡蛎",30,615,20.5
"164","煅牡蛎",23,585,25.4347826086957
"385","龙葵",37,585,15.8108108108108
"40","制黄精",33,579,17.5454545454545
"378","黄芩",59,578,9.79661016949153
"43","北沙参",35,554,15.8285714285714
"374","麦冬",38,546,14.3684210526316
"94","川芎",48,541,11.2708333333333
"340","醋鳖甲",58,540,9.31034482758621
"369","鸡血藤",21,525,25
"209","白扁豆",26,504,19.3846153846154
"337","郁金(广)",41,484,11.8048780487805
"171","熟地黄",32,466,14.5625
"353","防风",43,460,10.6976744186047
"225","盐补骨脂",28,459,16.3928571428571
"287","莪术",39,454,11.6410256410256
"159","炒路路通",37,436,11.7837837837838
"232","石斛(川石斛)",28,428,15.2857142857143
"184","玄参",23,416,18.0869565217391
"45","升麻",44,408,9.27272727272727
"292","葛根",29,406,14
"33","制山茱萸(山萸肉)",33,402,12.1818181818182
"204","生鸡内金",32,400,12.5
"220","皂角刺",27,393,14.5555555555556
"375","麦芽(炒麦芽)",21,387,18.4285714285714
"174","牡丹皮",34,377,11.0882352941176
"134","泽泻",29,376,12.9655172413793
"47","半边莲",23,375,16.304347826087
"278","茯神",17,369,21.7058823529412
"32","制厚朴",38,368,9.68421052631579
"302","虎杖",23,360,15.6521739130435
"12","五味子(制)",31,347,11.1935483870968
"91","川佛手",39,347,8.8974358974359
"127","槲寄生(桑寄生)",23,345,15
"301","藿香",36,345,9.58333333333333
"313","蜜炙黄芪",13,345,26.5384615384615
"182","猫人参",22,330,15
"280","茵陈",21,330,15.7142857142857
"222","盐杜仲",22,318,14.4545454545455
"235","石膏",18,315,17.5
"170","煨诃子",23,314,13.6521739130435
"310","蜜炙甘草",61,311,5.0983606557377
"114","枸杞子",19,310,16.3157894736842
"142","淫羊藿(仙灵脾)",25,294,11.76
"250","管花肉苁蓉",23,293,12.7391304347826
"236","石菖蒲",20,290,14.5
"241","砂炒鸡内金",36,286,7.94444444444444
"237","石见穿",15,285,19
"362","香橼(蜜麸炒)",30,279,9.3
"78","女贞子(制)",22,277,12.5909090909091
"291","菟丝子",20,277,13.85
"165","煅瓦楞子",14,272,19.4285714285714
"319","蜜麸炒枳实(枳实)",24,271,11.2916666666667
"305","蛇六谷",10,255,25.5
"18","光桃仁(_桃仁)",27,253,9.37037037037037
"267","芡实",18,251,13.9444444444444
"112","木香",34,244,7.17647058823529
"93","川牛膝",19,242,12.7368421052632
"308","蜀羊泉(白英)",16,240,15
"383","墨旱莲(旱莲草)",18,240,13.3333333333333
"130","水红花子",17,235,13.8235294117647
"62","地龙",22,234,10.6363636363636
"36","制苍术",21,233,11.0952380952381
"23","关黄柏",21,228,10.8571428571429
"173","牛膝(怀牛膝)",15,225,15
"294","蒲公英",10,225,22.5
"255","紫苏梗",21,224,10.6666666666667
"198","生栀子(生山栀)",17,215,12.6470588235294
"339","醋延胡索",15,204,13.6
"64","垂盆草",11,200,18.1818181818182
"201","生白芍",16,199,12.4375
"186","玉米须",8,195,24.375
"326","豆蔻(白豆蔻)",60,195,3.25
"386","龙骨(先煎)",9,195,21.6666666666667
"185","玉竹",16,193,12.0625
"344","金樱子",13,192,14.7692307692308
"73","天花粉",13,190,14.6153846153846
"194","生决明子",10,190,19
"247","秫米(北秫米)",12,189,15.75
"17","佩兰(干)",19,187,9.8421052631579
"359","预知子(八月扎)",16,183,11.4375
"381","黄连",44,183,4.15909090909091
"338","酒制大黄",19,181,9.52631578947368
"75","天麻",19,180,9.47368421052632
"169","煅龙骨",9,180,20
"188","珍珠母",8,180,22.5
"257","红花",28,172,6.14285714285714
"148","炒扁豆",12,171,14.25
"120","桑椹(桑椹子)",12,168,14
"315","蜜紫菀",14,168,12
"227","知母",15,167,11.1333333333333
"58","地耳草(田基黄)",11,165,15
"199","生槐米",10,165,16.5
"229","石上柏",9,165,18.3333333333333
"371","鸭跖草",11,165,15
"27","制乌梅",15,163,10.8666666666667
"88","山楂(山楂炭)",13,162,12.4615384615385
"106","旋覆花",15,162,10.8
"69","大腹毛",16,160,10
"143","淮小麦",8,155,19.375
"79","姜汁炒竹茹",17,153,9
"228","矮地茶(平地木)",15,150,10
"242","磁石(灵磁石)",6,150,25
"334","连钱草(金钱草)",8,150,18.75
"347","钩藤",10,150,15
"85","射干",12,141,11.75
"363","马齿苋",11,140,12.7272727272727
"8","丝瓜络",12,138,11.5
"122","桔梗",17,138,8.11764705882353
"38","制远志",14,137,9.78571428571429
"39","制香附",16,137,8.5625
"121","桑白皮",10,137,13.7
"273","苍耳草",9,135,15
"59","地肤子",9,130,14.4444444444444
"323","蜜麸炒青皮",17,127,7.47058823529412
"181","猪苓",9,124,13.7777777777778
"160","炒车前子",7,123,17.5714285714286
"317","蜜麸炒僵蚕",12,121,10.0833333333333
"50","南葶苈子",10,120,12
"166","煅白螺蛳壳",6,120,20
"269","芦根(干)",7,120,17.1428571428571
"306","蛇莓",8,120,15
"328","赤石脂",6,120,20
"330","赭石(代赭石)",5,120,24
"7","三棱",9,119,13.2222222222222
"245","秦皮",10,119,11.9
"20","全瓜蒌",9,117,13
"133","泽兰",13,117,9
"155","炒瓜蒌皮",6,115,19.1666666666667
"240","砂炒干蟾(干蟾皮)",11,112,10.1818181818182
"346","金银花",8,112,14
"49","南沙参",8,109,13.625
"71","天冬",9,108,12
"16","伸筋草",7,105,15
"101","干骨碎补",8,104,13
"99","干荷叶",8,100,12.5
"60","地骨皮",5,99,19.8
"264","肉桂",27,99,3.66666666666667
"298","薤白(野白头)",9,99,11
"348","铁树叶",7,99,14.1428571428571
"276","苦参",7,98,14
"80","威灵仙",7,95,13.5714285714286
"136","浮小麦",5,95,19
"176","牡蒿(青蒿)",6,95,15.8333333333333
"357","青葙子",8,95,11.875
"239","砂仁(阳春砂)",22,93,4.22727272727273
"1","_苦杏仁",10,90,9
"86","小茴香",20,90,4.5
"107","昆布",6,90,15
"108","望江南",4,90,22.5
"139","海金沙",6,90,15
"205","瘪桃干",5,90,18
"216","白鲜皮",4,90,22.5
"230","石决明",6,90,15
"244","禹州漏芦(漏芦)",6,90,15
"332","软滑石",3,90,30
"76","天龙",21,87,4.14285714285714
"98","干姜",12,86,7.16666666666667
"131","沙苑子(潼疾藜)",7,85,12.1428571428571
"261","羊乳根",6,85,14.1666666666667
"311","蜜炙紫苏子",8,84,10.5
"336","郁李仁",7,84,12
"14","仙茅",7,80,11.4285714285714
"113","枇杷叶",7,78,11.1428571428571
"366","鱼腥草",6,78,13
"92","川楝子(炒)",7,76,10.8571428571429
"358","青连翘",7,76,10.8571428571429
"29","制何首乌",5,75,15
"365","鬼箭羽",5,75,15
"377","麻黄根",4,75,18.75
"87","山慈菇",6,74,12.3333333333333
"224","盐益智仁",5,70,14
"281","茶树根",5,70,14
"187","王不留行(炒)",6,67,11.1666666666667
"345","金荞麦(开金锁)",4,65,16.25
"258","细辛",11,64,5.81818181818182
"157","炒蒺藜(白蒺藜)",5,63,12.6
"2","_蓄",4,60,15
"57","地榆(地榆炭)",4,60,15
"68","大狼把草",4,60,15
"115","枸骨叶(功劳叶)",4,60,15
"183","猫爪草",4,60,15
"203","生蒲黄",4,60,15
"217","白龙齿",4,60,15
"226","瞿麦",4,60,15
"263","羌活",8,60,7.5
"297","薜荔果",4,60,15
"141","淡竹叶",5,59,11.8
"180","独活",6,59,9.83333333333333
"277","茜草炭",4,57,14.25
"333","辛夷",7,57,8.14285714285714
"54","合欢米(合欢花)",4,56,14
