"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"355","附子(熟附片)",10,56,5.6
"312","蜜炙麻黄",7,53,7.57142857142857
"117","栀子(焦山栀)",5,52,10.4
"218","百合",4,52,13
"314","蜜百部(炙百部)",3,51,17
"322","蜜麸炒苍术",5,51,10.2
"100","干荷梗",3,50,16.6666666666667
"213","白芷",4,48,12
"5","七叶一枝花",4,45,11.25
"138","海藻",3,45,15
"152","炒牛蒡子",4,45,11.25
"154","炒瓜蒌子",2,45,22.5
"179","狗脊",3,45,15
"214","白茅根",3,45,15
"234","石燕",3,45,15
"238","石韦",2,45,22.5
"243","禹余粮",3,45,15
"266","腹水草",2,45,22.5
"299","藕节炭",3,45,15
"307","蛤壳(海蛤壳)",2,45,22.5
"349","铁苋菜(血见愁)",2,45,22.5
"324","蝉蜕(蝉衣)",5,44,8.8
"283","荆芥",4,42,10.5
"24","冬瓜皮",2,40,20
"195","生地榆",3,40,13.3333333333333
"260","续断",3,40,13.3333333333333
"149","炒桑枝",2,39,19.5
"304","蚕茧壳",3,39,13
"55","吴茱萸(制)",10,36,3.6
"150","炒桑螵蛸",5,36,7.2
"284","荆芥炭",4,36,9
"221","益母草",2,35,17.5
"352","防已(汉防己)",3,35,11.6666666666667
"364","高良姜",10,35,3.5
"126","槟榔",3,34,11.3333333333333
"219","百部",3,34,11.3333333333333
"246","秦艽",3,34,11.3333333333333
"272","苍耳子(炒)",3,34,11.3333333333333
"286","草豆蔻",11,33,3
"295","薄荷",9,33,3.66666666666667
"351","锁阳",5,33,6.6
"109","木瓜",3,31,10.3333333333333
"6","三七粉",12,30,2.5
"21","六月雪",2,30,15
"26","凤尾草",2,30,15
"52","参叶",2,30,15
"65","墓头回",2,30,15
"82","婆婆针(鬼针草)",2,30,15
"84","寒水石",1,30,30
"95","川贝母",10,30,3
"104","徐长卿",3,30,10
"151","炒海螵蛸",2,30,15
"172","片姜黄",5,30,6
"196","生大黄",5,30,6
"248","积雪草(落得打)",1,30,30
"252","紫花地丁",3,30,10
"293","葫芦壳",2,30,15
"331","车前草",2,30,15
"373","鹿角胶霜",2,30,15
"42","化橘红(橘红)",4,28,7
"90","山豆根",3,28,9.33333333333333
"102","广藿香",3,27,9
"253","紫苏叶(苏叶)",3,27,9
"341","醋龟甲(龟版)",3,27,9
"193","生侧柏叶",2,25,12.5
"9","乌梢蛇",3,24,8
"265","胖大海",3,21,7
"289","莲子",2,21,10.5
"303","蚕砂",2,20,10
"342","野菊花",2,20,10
"31","制南星",2,19,9.5
"207","白及",2,19,9.5
"223","盐橘核",2,19,9.5
"13","人工天竺黄",1,18,18
"129","毛冬青",2,18,9
"147","炒五灵脂",2,18,9
"354","防风炭",2,18,9
"10","乌药",2,15,7.5
"44","千年健",1,15,15
"51","卷柏",1,15,15
"72","天浆壳",1,15,15
"74","天葵子",1,15,15
"83","密蒙花",1,15,15
"105","拳参(草河车)",1,15,15
"110","木芙蓉叶",1,15,15
"125","槐米(槐米炭)",1,15,15
"135","泽漆",1,15,15
"140","海风藤",1,15,15
"167","煅自然铜",1,15,15
"168","煅青礞石",1,15,15
"178","牵牛子",1,15,15
"192","生何首乌",1,15,15
"202","生稻芽",1,15,15
"206","白前",1,15,15
"211","白果仁",1,15,15
"251","粉萆_",1,15,15
"262","羊蹄根",1,15,15
"275","苘麻子(冬葵子)",1,15,15
"282","茺蔚子",1,15,15
"327","赤小豆",1,15,15
"350","银柴胡",1,15,15
"368","鸡内金炭",1,15,15
"370","鸡骨草",1,15,15
"48","南方红豆杉",4,12,3
"97","巴戟天",2,12,6
"132","河白草",1,12,12
"153","炒牡丹皮",1,12,12
"163","炮山甲",4,12,3
"175","牡丹皮炭",1,12,12
"210","白术炭",1,12,12
"279","茯苓皮",1,12,12
"367","鸟不宿",2,12,6
"382","黑大豆",1,12,12
"35","制胆星",1,10,10
"81","娑罗子(苏罗子)",1,10,10
"119","桑叶",1,10,10
"124","楮实子",1,10,10
"208","白头翁",1,10,10
"254","紫苏子(炒)",1,10,10
"268","芥子(炒芥子)",1,10,10
"372","鹿角",1,10,10
"380","黄菊花",1,10,10
"41","前胡",1,9,9
"137","浮萍",1,9,9
"249","竹茹",1,9,9
"259","绞股蓝",1,9,9
"271","花椒",2,9,4.5
"285","草果(草果仁)",3,9,3
"376","麸煨肉豆蔻(肉果)",1,9,9
"11","五倍子",1,6,6
"25","凌霄花",1,6,6
"28","制乳香",1,6,6
"34","制川乌",1,6,6
"37","制草乌",1,6,6
"111","木蝴蝶",2,6,3
"128","橘络",1,6,6
"335","通草(方通草)",1,6,6
"360","飞琥珀",1,6,6
"384","龙胆",1,6,6
"123","梅花",1,5,5
"162","炮姜炭",1,5,5
"96","川贝母粉",1,3,3
"145","灯心草",1,3,3
"190","甘遂(制)",1,3,3
"256","红大戟(大戟)",1,3,3
"270","芫花",1,3,3
"325","西红花",2,1,0.5
"3","(二十四)消瘤4#方:帖:帖",3,NA,NA
"4","(四)扶正抑瘤肠方(张庆荃):帖:帖",4,NA,NA
"63","坎_(脐带 自费)",1,NA,NA
"309","蜈蚣",1,NA,NA
