"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"114","生麦芽",1,30,30
"135","磁石(灵磁石)",1,30,30
"139","糯稻根",1,30,30
"141","紫贝齿",1,30,30
"167","莱菔子(炒)",1,30,30
"168","莲子",1,30,30
"196","赭石(代赭石)",2,30,15
"197","车前草",2,30,15
"200","连钱草(金钱草)",1,30,30
"209","金雀根",1,30,30
"154","苦参",3,29,9.66666666666667
"228","麻黄",2,29,14.5
"23","制远志",3,27,9
"100","猪苓",2,27,13.5
"51","巴戟天",3,26,8.66666666666667
"4","三棱",2,25,12.5
"68","桑白皮",2,25,12.5
"125","盐益智仁",2,25,12.5
"161","荆芥",2,25,12.5
"211","防已(汉防己)",2,25,12.5
"199","辛夷",2,24,12
"207","金沸草(旋覆梗)",2,24,12
"220","香橼(蜜麸炒)",3,24,8
"27","升麻",2,20,10
"72","沙苑子(潼疾藜)",2,20,10
"146","羌活",2,20,10
"151","苏木",2,20,10
"159","茶树根",1,20,20
"1","_苦杏仁",2,18,9
"59","景天三七",1,18,18
"75","浮萍",1,18,18
"134","砂仁(阳春砂)",4,18,4.5
"140","紫苏叶(苏叶)",1,18,18
"142","红花",2,18,9
"152","苏败酱(败酱草)",1,18,18
"179","蜜炙甘草",2,16,8
"2","_蓄",1,15,15
"15","冬瓜子",1,15,15
"26","千年健",1,15,15
"36","地龙",1,15,15
"41","天花粉",1,15,15
"49","川牛膝",1,15,15
"62","板蓝根",1,15,15
"67","桑椹(桑椹子)",1,15,15
"71","水牛角",1,15,15
"95","片姜黄",1,15,15
"104","王不留行(炒)",1,15,15
"108","生侧柏叶",1,15,15
"115","白扁豆",1,15,15
"117","白芷",1,15,15
"127","瞿麦",1,15,15
"129","石打穿",1,15,15
"136","秫米(北秫米)",1,15,15
"144","络石藤",1,15,15
"149","芦根(干)",1,15,15
"153","苘麻子(冬葵子)",1,15,15
"160","茺蔚子",1,15,15
"176","藕节炭",1,15,15
"180","蜜炙麻黄",1,15,15
"198","软滑石",1,15,15
"221","香豆豉(豆豉)",1,15,15
"224","鱼腥草",1,15,15
"233","龙葵",1,15,15
"3","三七粉",6,12,2
"13","六神曲炭",1,12,12
"25","北沙参",1,12,12
"73","河白草",1,12,12
"86","炒瓜蒌皮",1,12,12
"226","麦冬",1,12,12
"52","干姜",4,11,2.75
"34","地骨皮",1,10,10
"55","当归炭",1,10,10
"69","桔梗",1,10,10
"83","炒桑螵蛸",1,10,10
"120","白菊花",1,10,10
"126","盐补骨脂",1,10,10
"182","蜜百部(炙百部)",1,10,10
"201","通草(方通草)",1,10,10
"17","制乌梅",1,9,9
"18","制何首乌",1,9,9
"58","旋覆花",1,9,9
"81","灵芝",1,9,9
"82","炒五灵脂",1,9,9
"147","肉桂",2,9,4.5
"164","荔枝核",1,9,9
"192","豆蔻(白豆蔻)",2,9,4.5
"204","醋鳖甲",1,9,9
"205","醋龟甲(龟版)",1,9,9
"227","麸煨肉豆蔻(肉果)",1,9,9
"169","莲子心",1,6,6
"173","薄荷",1,6,6
"7","佛手花",1,3,3
"31","吴茱萸(制)",1,3,3
"61","木蝴蝶",1,3,3
"143","细辛",1,3,3
"150","芦荟",1,3,3
