"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"108","黄芪",13,420,32.3076923076923
"61","生白术",15,252,16.8
"74","管花肉苁蓉",9,240,26.6666666666667
"5","党参",16,225,14.0625
"14","升麻",15,163,10.8666666666667
"18","地黄",11,153,13.9090909090909
"62","生白芍",10,147,14.7
"51","熟地黄",10,141,14.1
"98","赤芍",11,141,12.8181818181818
"52","牛膝(怀牛膝)",11,123,11.1818181818182
"80","莱菔子(炒)",8,120,15
"95","蜜麸炒青皮",11,120,10.9090909090909
"58","生地榆",7,102,14.5714285714286
"92","蜜麸炒枳实(枳实)",7,84,12
"29","当归",7,83,11.8571428571429
"17","地榆(地榆炭)",5,75,15
"54","甘草",11,75,6.81818181818182
"96","血余炭",5,75,15
"11","制厚朴",6,72,12
"60","生槐角",6,72,12
"34","柴胡",7,67,9.57142857142857
"94","蜜麸炒白芍",6,66,11
"8","关黄柏",6,61,10.1666666666667
"69","白茯苓",4,51,12.75
"91","蜜麸炒枳壳(枳壳)",4,51,12.75
"21","大腹毛",3,50,16.6666666666667
"20","大枣",4,49,12.25
"104","陈皮",8,48,6
"10","制半夏(姜半夏)",5,45,9
"24","太子参",3,45,15
"40","火麻仁",3,42,14
"26","山药(生山药)",2,40,20
"89","蜜炙黄芪",2,40,20
"90","蜜麸山药",2,40,20
"107","黄芩",4,39,9.75
"88","蜜炙甘草",6,36,6
"55","生丹参",3,33,11
"4","仙鹤草",1,30,30
"36","桑椹(桑椹子)",1,30,30
"48","煅瓦楞子",1,30,30
"49","煅龙骨",1,30,30
"57","生决明子",1,30,30
"93","蜜麸炒白术",2,30,15
"97","赤石脂",1,30,30
"72","知母",2,27,13.5
"7","六神曲炭",2,24,12
"25","山楂(山楂炭)",2,24,12
"47","煅牡蛎",1,20,20
"37","桔梗",3,18,6
"68","白芷",2,16,8
"6","全瓜蒌",1,15,15
"9","制乌梅",1,15,15
"13","制黄精",1,15,15
"19","夏枯草",1,15,15
"22","大血藤(红藤)",1,15,15
"23","大青叶",1,15,15
"31","望江南",1,15,15
"42","炒瓜蒌子",1,15,15
"44","炒薏苡仁",1,15,15
"45","炒车前子",1,15,15
"64","生蒲黄",1,15,15
"67","白花蛇舌草",1,15,15
"73","石打穿",1,15,15
"82","蒲公英",1,15,15
"84","薏苡仁(米仁)",1,15,15
"85","藤梨根",1,15,15
"87","虎杖",1,15,15
"102","野葡萄藤",1,15,15
"105","青连翘",1,15,15
"12","制苍术",1,12,12
"33","板蓝根",1,12,12
"41","炒牛蒡子",1,12,12
"46","炮姜炭",1,12,12
"56","生何首乌",1,12,12
"63","生稻芽",1,12,12
"66","白术炭",1,12,12
"75","紫苏梗",1,12,12
"86","藿香",1,12,12
"28","干荷叶",1,10,10
"30","徐长卿",1,10,10
"35","栀子(焦山栀)",1,10,10
"38","泽泻",1,10,10
"65","生鸡内金",1,10,10
"70","白菊花",1,10,10
"78","荆芥",1,10,10
"79","莪术",1,10,10
"103","防风",1,10,10
"1","_苦杏仁",1,9,9
"3","仙茅",1,9,9
"15","合欢皮",1,9,9
"32","木香",1,9,9
"39","淫羊藿(仙灵脾)",1,9,9
"43","炒蒺藜(白蒺藜)",1,9,9
"50","煨诃子",1,9,9
"53","牡丹皮",1,9,9
"59","生山楂",1,9,9
"71","盐杜仲",1,9,9
"77","茯神",1,9,9
"81","莲子",1,9,9
"99","郁金(广)",1,9,9
"101","醋延胡索",1,9,9
"106","麦冬",1,9,9
"27","干姜",1,6,6
"83","薄荷",1,6,6
"2","五味子(制)",1,5,5
"16","吴茱萸(制)",1,3,3
"76","芦荟",1,3,3
"100","酒制大黄",1,3,3
"109","黄连",1,3,3
