"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"37","当归",17,230,13.5294117647059
"4","仙鹤草",11,210,19.0909090909091
"97","菟丝子",17,209,12.2941176470588
"66","生丹参",13,194,14.9230769230769
"6","党参",14,186,13.2857142857143
"126","黄芪",12,185,15.4166666666667
"59","熟地黄",14,173,12.3571428571429
"85","续断",12,153,12.75
"25","女贞子(制)",12,143,11.9166666666667
"68","生白芍",10,122,12.2
"71","白茯苓",9,105,11.6666666666667
"84","紫石英",4,105,26.25
"48","淫羊藿(仙灵脾)",8,93,11.625
"36","巴戟天",7,83,11.8571428571429
"104","蜜麸炒白术",8,81,10.125
"73","益母草",5,80,16
"29","山药(生山药)",7,79,11.2857142857143
"67","生白术",7,77,11
"72","皂角刺",6,72,12
"79","石菖蒲",7,66,9.42857142857143
"45","槲寄生(桑寄生)",5,63,12.6
"74","盐杜仲",5,63,12.6
"23","大血藤(红藤)",4,60,15
"69","生蒲黄",4,60,15
"127","墨旱莲(旱莲草)",5,60,12
"105","蜜麸炒白芍",5,57,11.4
"19","地黄",4,54,13.5
"34","川芎",6,54,9
"12","制香附",5,53,10.6
"61","牡丹皮",4,51,12.75
"125","黄芩",4,51,12.75
"11","制山茱萸(山萸肉)",5,48,9.6
"18","地锦草",3,45,15
"64","玉米须",3,45,15
"90","茜草",3,45,15
"96","莲房(莲房炭)",3,45,15
"102","蜜麸山药",3,45,15
"122","鹿衔草(鹿含草)",3,45,15
"124","麦冬",4,45,11.25
"41","枸杞子",3,44,14.6666666666667
"52","炒海螵蛸",2,40,20
"78","石楠叶",3,39,13
"30","岗稔根",3,36,12
"39","拳参(草河车)",4,36,9
"83","管花肉苁蓉",3,36,12
"89","苏败酱(败酱草)",2,36,18
"108","赤芍",3,36,12
"109","醋延胡索",4,35,8.75
"8","制何首乌",3,32,10.6666666666667
"17","合欢皮",2,30,15
"20","地黄炭",2,30,15
"21","夏枯草",2,30,15
"49","淮小麦",1,30,30
"53","炒路路通",3,30,10
"58","煅龙骨",1,30,30
"62","牡蛎",1,30,30
"70","白芷",3,30,10
"77","石决明",1,30,30
"81","磁石(灵磁石)",1,30,30
"107","覆盆子",2,30,15
"113","锁阳",3,30,10
"121","鸡血藤",2,30,15
"87","芡实",2,29,14.5
"13","制黄精",2,27,13.5
"46","泽兰",3,27,9
"31","川佛手",3,24,8
"33","川牛膝",2,24,12
"42","柴胡",3,24,8
"75","盐补骨脂",2,24,12
"86","胡芦巴",3,24,8
"92","茯神",2,24,12
"98","葛根",2,24,12
"9","制半夏(姜半夏)",2,21,10.5
"2","乌药",2,20,10
"43","桑叶",2,20,10
"110","醋龟甲(龟版)",2,18,9
"1","三棱",1,15,15
"5","光桃仁(_桃仁)",1,15,15
"14","北沙参",1,15,15
"15","半枝莲",1,15,15
"16","卷柏",1,15,15
"22","大蓟",1,15,15
"27","小蓟",1,15,15
"38","忍冬藤",1,15,15
"54","炒酸枣仁",1,15,15
"55","炮姜炭",3,15,5
"56","煅瓦楞子",1,15,15
"57","煅花蕊石",1,15,15
"65","甘草",3,15,5
"93","草蒲黄炭",1,15,15
"94","荠菜花",1,15,15
"99","蒲公英",1,15,15
"101","蜜炙甘草",3,15,5
"103","蜜麸炒枳壳(枳壳)",1,15,15
"111","金雀根",1,15,15
"112","钩藤",1,15,15
"117","首乌藤(夜交藤)",1,15,15
"118","马鞭草",1,15,15
"123","鹿角胶霜",1,15,15
"26","威灵仙",1,12,12
"28","山楂(山楂炭)",1,12,12
"35","巨胜子",1,12,12
"44","楮实子",1,12,12
"60","牛膝(怀牛膝)",1,12,12
"76","知母",1,12,12
"82","童子益母草",1,12,12
"88","苎麻根",1,12,12
"100","薏苡仁(米仁)",1,12,12
"106","蜜麸炒苍术",1,12,12
"50","炒桑螵蛸",1,10,10
"119","马齿苋",1,10,10
"3","仙茅",1,9,9
"24","天麻",1,9,9
"32","川楝子(炒)",1,9,9
"40","木香",1,9,9
"47","泽泻",1,9,9
"51","炒椿皮(椿根皮)",1,9,9
"63","玄参",1,9,9
"80","砂仁(阳春砂)",3,9,3
"91","茜草炭",1,9,9
"95","莪术",1,9,9
"114","防风",1,9,9
"115","附子(熟附片)",1,9,9
"120","鸡冠花",1,9,9
"7","凤凰衣",2,6,3
"10","制厚朴",1,6,6
"116","陈皮",1,6,6
