"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"50","煅瓦楞子",4,120,30
"61","生白术",6,94,15.6666666666667
"5","党参",6,75,12.5
"88","蜜麸炒枳壳(枳壳)",6,75,12.5
"13","北沙参",4,69,17.25
"22","大枣",6,63,10.5
"46","炒海螵蛸",3,60,20
"58","甘草",9,54,6
"67","白茯苓",4,54,13.5
"59","生丹参",3,51,17
"37","柴胡",6,50,8.33333333333333
"9","制半夏(姜半夏)",5,45,9
"91","蜜麸炒白芍",4,45,11.25
"20","地黄",2,42,21
"84","藿香",4,42,10.5
"106","麦冬",4,40,10
"62","生白芍",3,39,13
"98","醋延胡索",3,39,13
"69","盐杜仲",3,37,12.3333333333333
"31","川芎",4,36,9
"11","制香附",3,33,11
"34","当归",3,33,11
"23","大腹毛",3,30,10
"45","火麻仁",1,30,30
"47","炒稻芽",1,30,30
"51","煅白螺蛳壳",1,30,30
"57","珍珠母",1,30,30
"66","白花蛇舌草",1,30,30
"75","磁石(灵磁石)",1,30,30
"82","蒲公英",1,30,30
"97","郁金(广)",2,30,15
"103","首乌藤(夜交藤)",1,30,30
"107","黄芩",3,30,10
"109","黄芪",2,30,15
"16","合欢皮",2,27,13.5
"38","栀子(焦山栀)",3,27,9
"102","陈皮",4,27,6.75
"65","白扁豆",2,24,12
"90","蜜麸炒白术",2,24,12
"99","金沸草(旋覆梗)",2,24,12
"30","川牛膝",2,21,10.5
"41","桔梗",2,21,10.5
"52","熟地黄",2,21,10.5
"89","蜜麸炒枳实(枳实)",2,21,10.5
"101","防风",2,21,10.5
"15","南沙参",1,20,20
"71","知母",2,18,9
"77","紫苏梗",2,18,9
"93","赤芍",2,18,9
"3","乌药",1,15,15
"8","凤尾草",1,15,15
"12","制黄精",1,15,15
"14","半枝莲",1,15,15
"18","地榆(地榆炭)",1,15,15
"19","地锦草",1,15,15
"21","夏枯草",1,15,15
"24","太子参",1,15,15
"42","槟榔",1,15,15
"43","沙苑子(潼疾藜)",1,15,15
"60","生决明子",1,15,15
"80","菝葜",1,15,15
"81","葛根",1,15,15
"83","藤梨根",1,15,15
"86","蜜炙黄芪",1,15,15
"94","赭石(代赭石)",1,15,15
"95","车前草",1,15,15
"28","川佛手",1,12,12
"29","川楝子(炒)",1,12,12
"36","木香",2,12,6
"49","炒酸枣仁",1,12,12
"53","牛膝(怀牛膝)",1,12,12
"70","盐补骨脂",1,12,12
"73","石榴皮",1,12,12
"96","郁李仁",1,12,12
"104","香橼(蜜麸炒)",1,12,12
"110","黄连",4,12,3
"85","蜜炙甘草",2,11,5.5
"6","六神曲炭",1,10,10
"10","制远志",1,10,10
"25","女贞子(制)",1,10,10
"27","山楂(山楂炭)",1,10,10
"40","桑叶",1,10,10
"64","白及",1,10,10
"68","白菊花",1,10,10
"108","黄芩炭",1,10,10
"1","_苦杏仁",1,9,9
"4","佩兰(干)",1,9,9
"7","关黄柏",1,9,9
"32","巴戟天",1,9,9
"39","桂枝",1,9,9
"44","淡竹叶",1,9,9
"48","炒路路通",1,9,9
"54","牡丹皮",1,9,9
"55","玉竹",1,9,9
"56","王不留行(炒)",1,9,9
"63","瘪桃干",1,9,9
"72","石斛(川石斛)",1,9,9
"76","管花肉苁蓉",1,9,9
"78","莪术",1,9,9
"79","莲子",1,9,9
"87","蜜麸山药",1,9,9
"100","金银花",1,9,9
"105","鸡血藤",1,9,9
"17","吴茱萸(制)",2,6,3
"26","小茴香",1,6,6
"35","木蝴蝶",1,6,6
"74","砂仁(阳春砂)",2,6,3
"2","丁香",1,3,3
"33","干姜",1,3,3
"92","豆蔻(白豆蔻)",1,3,3
