"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"114","盐补骨脂",1,10,10
"130","苍耳子(炒)",1,10,10
"136","莲子",1,10,10
"143","蚕砂",1,10,10
"161","野菊花",1,10,10
"16","制乌梅",1,9,9
"19","制南星",1,9,9
"43","太子参",1,9,9
"45","射干",1,9,9
"48","川楝子(炒)",1,9,9
"58","木瓜",1,9,9
"60","木香",1,9,9
"68","浮萍",1,9,9
"89","玉竹",1,9,9
"121","砂仁(阳春砂)",2,9,4.5
"151","蜜麸炒苍术",1,9,9
"153","豆蔻(白豆蔻)",2,9,4.5
"176","麻黄",1,9,9
"5","乌梢蛇",1,6,6
"8","佛手花",1,6,6
"22","制胆星",1,6,6
"42","天龙",2,6,3
"94","生大黄",1,6,6
"101","白及",2,6,3
"112","盐橘核",1,6,6
"113","盐益智仁",1,6,6
"126","红花",1,6,6
"134","荔枝核",1,6,6
"139","薄荷",2,6,3
"158","通草(方通草)",1,6,6
"51","川贝母粉",1,3,3
