"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"140","薏苡仁(米仁)",20,432,21.6
"32","土茯苓",27,405,15
"138","蒲公英",23,360,15.6521739130435
"35","地黄",21,336,16
"155","赤芍",32,331,10.34375
"92","甘草",37,310,8.37837837837838
"15","凤凰衣",29,255,8.79310344827586
"106","白茯苓",17,255,15
"179","黄芪",13,240,18.4615384615385
"124","紫花地丁",22,230,10.4545454545455
"69","淡竹叶",14,198,14.1428571428571
"97","生白术",12,187,15.5833333333333
"178","黄芩",15,186,12.4
"145","蜜麸山药",8,180,22.5
"107","白蔹",19,177,9.31578947368421
"180","黄连",30,168,5.6
"46","山药(生山药)",10,165,16.5
"102","白扁豆",10,153,15.3
"129","芦根(干)",8,135,16.875
"164","金银花",14,132,9.42857142857143
"72","火麻仁",5,130,26
"88","玄参",10,127,12.7
"54","当归",11,126,11.4545454545455
"18","制半夏(姜半夏)",13,120,9.23076923076923
"149","蜜麸炒白术",10,119,11.9
"148","蜜麸炒枳实(枳实)",6,115,19.1666666666667
"168","青连翘",9,114,12.6666666666667
"11","党参",8,112,14
"85","牡丹皮",9,105,11.6666666666667
"115","知母",9,101,11.2222222222222
"20","制厚朴",6,97,16.1666666666667
"71","淮小麦",3,90,30
"174","麦冬",7,90,12.8571428571429
"183","龙骨(先煎)",3,90,30
"31","合欢皮",5,89,17.8
"50","川芎",7,80,11.4285714285714
"82","煅瓦楞子",4,75,18.75
"167","陈皮",9,73,8.11111111111111
"135","莪术",4,72,18
"141","藿香",8,71,8.875
"96","生栀子(生山栀)",5,63,12.6
"14","关黄柏",6,61,10.1666666666667
"132","苦参",4,60,15
"165","金雀根",4,59,14.75
"80","炒酸枣仁",4,51,12.75
"109","百合",3,50,16.6666666666667
"93","生丹参",4,49,12.25
"2","_草",2,48,24
"150","蜜麸炒白芍",4,48,12
"38","大血藤(红藤)",3,45,15
"86","牡蛎",2,45,22.5
"91","珍珠母",2,45,22.5
"117","石斛(川石斛)",3,45,15
"118","石膏",2,45,22.5
"142","虎杖",3,45,15
"170","首乌藤(夜交藤)",2,45,22.5
"173","鸡血藤",2,45,22.5
"30","升麻",5,44,8.8
"160","醋延胡索",3,44,14.6666666666667
"62","柴胡",4,42,10.5
"104","白芷",4,42,10.5
"166","防风",3,42,14
"111","盐杜仲",3,39,13
"59","木蝴蝶",6,36,6
"63","桂枝",4,34,8.5
"9","佩兰(干)",5,33,6.6
"123","管花肉苁蓉",2,32,16
"146","蜜麸炒僵蚕",3,31,10.3333333333333
"7","伸筋草",1,30,30
"12","全瓜蒌",1,30,30
"27","化橘红(橘红)",2,30,15
"28","北沙参",2,30,15
"39","大青叶",2,30,15
"61","板蓝根",2,30,15
"65","水牛角",2,30,15
"66","泽泻",3,30,10
"67","浮小麦",1,30,30
"78","炒薏苡仁",1,30,30
"81","煅牡蛎",1,30,30
"108","白鲜皮",2,30,15
"110","益母草",1,30,30
"119","石菖蒲",2,30,15
"147","蜜麸炒枳壳(枳壳)",3,30,10
"156","软滑石",2,30,15
"162","野蔷薇根",2,30,15
"172","鱼腥草",1,30,30
"175","麦芽(炒麦芽)",2,30,15
"182","龙葵",2,30,15
"25","制香附",2,27,13.5
"70","淫羊藿(仙灵脾)",2,27,13.5
"83","熟地黄",2,27,13.5
"84","牛膝(怀牛膝)",2,27,13.5
"10","光桃仁(_桃仁)",2,25,12.5
"13","六神曲炭",2,25,12.5
"103","白花蛇舌草",2,25,12.5
"171","鬼箭羽",2,25,12.5
"44","女贞子(制)",2,24,12
"49","川牛膝",2,24,12
"77","炒稻芽",2,24,12
"99","生蒲黄",2,24,12
"125","紫苏梗",3,24,8
"159","郁金(广)",2,24,12
"6","五味子(制)",3,23,7.66666666666667
"144","蜜炙甘草",3,21,7
"152","蝉蜕(蝉衣)",2,21,10.5
"29","千里光",2,20,10
"41","天花粉",1,20,20
"157","辛夷",2,20,10
"169","预知子(八月扎)",2,20,10
"181","墨旱莲(旱莲草)",1,20,20
"21","制山茱萸(山萸肉)",2,19,9.5
"95","生山楂",2,19,9.5
"1","_苦杏仁",2,18,9
"23","制苍术",2,18,9
"37","大枣",2,18,9
"131","苏败酱(败酱草)",1,18,18
"127","细辛",4,17,4.25
"53","干姜",5,16,3.2
"73","灯心草",7,16,2.28571428571429
"3","三棱",1,15,15
"4","两面针",1,15,15
"33","地肤子",1,15,15
"34","地锦草",1,15,15
"56","拳参(草河车)",1,15,15
"74","炒扁豆",1,15,15
"105","白茅根",1,15,15
"116","石上柏",1,15,15
"120","石见穿",1,15,15
"128","肉桂",4,15,3.75
"133","荆芥",1,15,15
"154","赤小豆",1,15,15
"163","金樱子",1,15,15
"177","麻黄根",1,15,15
"137","莲子心",3,14,4.66666666666667
"17","制何首乌",1,12,12
"40","天冬",1,12,12
"79","炒路路通",1,12,12
"90","王不留行(炒)",1,12,12
"98","生白芍",1,12,12
"122","砂炒鸡内金",1,12,12
"24","制远志",1,10,10
"26","制黄精",1,10,10
"36","地龙",1,10,10
"47","川佛手",1,10,10
"52","巴戟天",1,10,10
"55","徐长卿",1,10,10
"57","景天三七",1,10,10
"64","桔梗",1,10,10
"75","炒海螵蛸",1,10,10
"76","炒牛蒡子",1,10,10
"87","猪苓",1,10,10
"100","生鸡内金",1,10,10
