"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"75","当归",230,3418,14.8608695652174
"133","生丹参",144,2343,16.2708333333333
"205","菟丝子",175,2281,13.0342857142857
"118","熟地黄",149,2039,13.6845637583893
"13","党参",111,1782,16.0540540540541
"182","续断",129,1694,13.1317829457364
"268","黄芪",87,1588,18.2528735632184
"100","淫羊藿(仙灵脾)",113,1402,12.4070796460177
"152","白茯苓",103,1251,12.1456310679612
"157","益母草",70,1201,17.1571428571429
"62","女贞子(制)",88,1113,12.6477272727273
"72","巴戟天",85,1089,12.8117647058824
"141","生白芍",86,1049,12.1976744186047
"167","石菖蒲",108,1043,9.65740740740741
"70","川牛膝",77,1003,13.025974025974
"71","川芎",122,945,7.74590163934426
"257","鸡血藤",49,910,18.5714285714286
"251","首乌藤(夜交藤)",37,860,23.2432432432432
"221","蜜麸炒白术",87,847,9.73563218390805
"35","制香附",79,836,10.5822784810127
"30","制山茱萸(山萸肉)",69,784,11.3623188405797
"222","蜜麸炒白芍",62,771,12.4354838709677
"231","赤芍",66,752,11.3939393939394
"50","地黄",63,748,11.8730158730159
"218","蜜麸山药",52,735,14.1346153846154
"177","紫石英",27,690,25.5555555555556
"140","生白术",61,681,11.1639344262295
"82","枸杞子",53,672,12.6792452830189
"204","莪术",53,669,12.622641509434
"158","盐杜仲",40,563,14.075
"156","皂角刺",48,561,11.6875
"67","山药(生山药)",40,554,13.85
"120","牡丹皮",45,521,11.5777777777778
"94","泽兰",50,486,9.72
"165","石楠叶",39,468,12
"44","合欢皮",30,399,13.3
"143","生蒲黄",23,387,16.8260869565217
"206","葛根",31,387,12.4838709677419
"227","覆盆子",29,386,13.3103448275862
"4","三棱",29,384,13.2413793103448
"69","川楝子(炒)",34,359,10.5588235294118
"175","管花肉苁蓉",27,341,12.6296296296296
"92","槲寄生(桑寄生)",26,338,13
"36","制黄精",23,327,14.2173913043478
"12","光桃仁(_桃仁)",30,326,10.8666666666667
"110","炒路路通",28,315,11.25
"132","甘草",46,286,6.21739130434783
"10","仙鹤草",12,285,23.75
"271","墨旱莲(旱莲草)",28,280,10
"85","桂枝",31,278,8.96774193548387
"68","川佛手",31,264,8.51612903225806
"88","桑椹(桑椹子)",18,243,13.5
"57","大血藤(红藤)",12,240,20
"253","马鞭草",16,240,15
"151","白芷",23,232,10.0869565217391
"161","知母",26,231,8.88461538461539
"266","黄芩",27,229,8.48148148148148
"84","柴胡",36,226,6.27777777777778
"217","蜜炙黄芪",15,224,14.9333333333333
"234","郁金(广)",22,220,10
"236","醋延胡索",19,215,11.3157894736842
"248","陈皮",35,214,6.11428571428571
"49","地骨皮",17,207,12.1764705882353
"9","仙茅",19,204,10.7368421052632
"209","薏苡仁(米仁)",14,196,14
"27","制半夏(姜半夏)",20,195,9.75
"101","淮小麦",8,194,24.25
"17","关黄柏",25,181,7.24
"43","卷柏",12,180,15
"172","磁石(灵磁石)",6,180,30
"262","麦冬",16,179,11.1875
"196","茯神",13,168,12.9230769230769
"162","石决明",7,165,23.5714285714286
"168","石见穿",10,165,16.5
"238","醋龟甲(龟版)",17,162,9.52941176470588
"243","钩藤",11,159,14.4545454545455
"219","蜜麸炒枳壳(枳壳)",14,156,11.1428571428571
"95","泽泻",13,150,11.5384615384615
"61","太子参",12,147,12.25
"194","茜草",12,145,12.0833333333333
"260","鹿角",13,140,10.7692307692308
"124","狗脊",10,135,13.5
"150","白花蛇舌草",7,135,19.2857142857143
"119","牛膝(怀牛膝)",11,129,11.7272727272727
"25","制何首乌",11,128,11.6363636363636
"160","盐补骨脂",10,128,12.8
"38","北沙参",9,119,13.2222222222222
"89","桑白皮",11,114,10.3636363636364
"103","炒五灵脂",12,108,9
"242","金雀根",7,105,15
"112","炒酸枣仁",9,102,11.3333333333333
"129","玫瑰花",16,102,6.375
"192","苏败酱(败酱草)",8,99,12.375
"215","蜜炙甘草",17,98,5.76470588235294
"34","制远志",11,96,8.72727272727273
"81","木香",12,96,8
"40","半枝莲",6,90,15
"125","玄参",7,90,12.8571428571429
"22","制_豆衣(黑豆衣)",6,87,14.5
"109","炒薏苡仁",4,87,21.75
"181","红花",13,87,6.69230769230769
"261","鹿角胶霜",6,80,13.3333333333333
"96","浮小麦",4,77,19.25
"114","煅牡蛎",3,75,25
"116","煅花蕊石",3,75,25
"137","生山楂",3,75,25
"207","蒲公英",5,75,15
"229","赤小豆",5,75,15
"170","砂仁(阳春砂)",24,72,3
"185","胡芦巴",8,72,9
"200","茺蔚子",5,72,14.4
"178","紫花地丁",5,70,14
"263","麦芽(炒麦芽)",5,70,14
"14","全瓜蒌",4,67,16.75
"244","锁阳",7,67,9.57142857142857
"142","生稻芽",3,66,22
"223","蜜麸炒苍术",7,63,9
"250","预知子(八月扎)",6,63,10.5
"41","南沙参",4,60,15
"104","炒椿皮(椿根皮)",5,60,12
"111","炒车前子",4,60,15
"123","牡蛎",3,60,20
"128","王不留行(炒)",5,60,12
"176","糯稻根",3,60,20
"202","草蒲黄炭",4,60,15
"256","鱼腥草",2,60,30
"145","生麦芽",3,56,18.6666666666667
"29","制厚朴",7,54,7.71428571428571
"115","煅瓦楞子",4,54,13.5
"237","醋鳖甲",5,54,10.8
"105","炒海螵蛸",3,50,16.6666666666667
"188","芥子(炒芥子)",4,48,12
"7","乌药",6,45,7.5
"21","刘寄奴",3,45,15
"28","制南星",4,45,11.25
"53","夏枯草",3,45,15
"211","藕节炭",3,45,15
"255","鬼箭羽",3,45,15
"8","五味子(制)",5,43,8.6
"239","金樱子",4,43,10.75
"187","芡实",3,42,14
"245","防风",4,42,10.5
"74","干荷叶",3,40,13.3333333333333
"87","桑叶",4,40,10
"224","蜜麸炒青皮",5,40,8
"32","制胆星",3,39,13
"113","炮姜炭",7,39,5.57142857142857
"191","苎麻根",3,39,13
"201","荆芥",4,39,9.75
"159","盐橘核",4,36,9
"241","金银花",6,36,6
"249","青连翘",4,36,9
"108","炒稻芽",3,35,11.6666666666667
"99","淡竹叶",4,33,8.25
"56","大蓟",2,30,15
"65","小蓟",2,30,15
"86","桃胶(桃树胶)",2,30,15
"98","海金沙",2,30,15
"117","煅龙骨",1,30,30
"130","珍珠母",2,30,15
"138","生栀子(生山栀)",2,30,15
"154","白龙齿",1,30,30
"163","石打穿",2,30,15
"166","石膏",1,30,30
"180","紫贝齿",2,30,15
"198","茵陈",2,30,15
"213","虎杖",2,30,15
"230","赤石脂",1,30,30
"232","车前草",1,30,30
"246","附子(熟附片)",3,30,10
"259","鹿衔草(鹿含草)",2,30,15
"270","黑大豆",1,30,30
"78","拳参(草河车)",3,27,9
"134","生侧柏叶",2,27,13.5
"148","白扁豆",2,27,13.5
"210","藕节",2,27,13.5
"16","六神曲炭",2,25,12.5
"122","牡蒿(青蒿)",2,25,12.5
"126","玉竹",2,21,10.5
"59","天花粉",1,20,20
"76","徐长卿",2,20,10
"164","石斛(川石斛)",1,20,20
"199","茶树根",2,20,10
"247","陈棕炭",2,20,10
"60","天麻",2,18,9
"64","小茴香",3,18,6
"73","干姜",3,18,6
"80","月季花",2,18,9
"102","灵芝",1,18,18
"106","炒牡丹皮",2,18,9
"131","甘松",3,18,6
"136","生大黄",3,18,6
"184","肉桂",6,18,3
"208","薄荷",6,18,3
"252","香橼(蜜麸炒)",2,18,9
"90","桔梗",3,17,5.66666666666667
"233","辛夷",3,17,5.66666666666667
"2","丁香",4,15,3.75
"45","吴茱萸(制)",3,15,5
"46","土茯苓",1,15,15
"48","地锦草",1,15,15
"52","垂盆草",1,15,15
"54","大枣",2,15,7.5
"63","威灵仙",1,15,15
"66","山楂(山楂炭)",1,15,15
"77","忍冬藤",1,15,15
"83","枸橘梨",1,15,15
"127","玉米须",1,15,15
"146","瘪桃干",1,15,15
"155","百合",1,15,15
"169","石韦",1,15,15
"190","苍耳子(炒)",2,15,7.5
"193","苦参",1,15,15
"197","茯苓皮",1,15,15
"235","酒制大黄",3,15,5
"258","鸭跖草",1,15,15
"265","麻黄根",1,15,15
"269","黄连",5,15,3
"5","丝瓜络",1,12,12
"6","两面针",1,12,12
"18","冬瓜皮",1,12,12
"20","凤凰衣",4,12,3
"31","制没药",2,12,6
"33","制苍术",1,12,12
"42","南瓜蒂",1,12,12
"47","地榆(地榆炭)",1,12,12
"58","天冬",1,12,12
"93","沙苑子(潼疾藜)",1,12,12
"107","炒瓜蒌子",1,12,12
"121","牡丹皮炭",1,12,12
"135","生地榆",1,12,12
"139","生槐米",1,12,12
"147","白头翁",1,12,12
"149","白扁豆衣",1,12,12
"173","秫米(北秫米)",1,12,12
"179","紫苏梗",2,12,6
"183","羊乳根",1,12,12
"186","艾叶",2,12,6
"212","藤梨根",1,12,12
"240","金荞麦(开金锁)",1,12,12
"55","大腹毛",1,10,10
"144","生鸡内金",1,10,10
"153","白菊花",1,10,10
"195","茜草炭",1,10,10
"226","血余炭",1,10,10
"254","马齿苋",1,10,10
"267","黄芩炭",1,10,10
"1","_苦杏仁",1,9,9
"3","七叶一枝花",1,9,9
"11","代代花",2,9,4.5
"23","制乌梅",1,9,9
"26","制关白附",1,9,9
"79","旋覆花",1,9,9
"97","浮萍",1,9,9
"174","竹茹",1,9,9
"225","蝉蜕(蝉衣)",1,9,9
"19","冰球子",1,6,6
"24","制乳香",1,6,6
"37","化橘红(橘红)",1,6,6
"39","升麻",1,6,6
"171","砂炒鸡内金",1,6,6
"203","荔枝核",1,6,6
"216","蜜炙麻黄",1,6,6
"220","蜜麸炒枳实(枳实)",1,6,6
"264","麸煨肉豆蔻(肉果)",1,6,6
"15","全蝎粉",1,4,4
"91","梅花",1,3,3
"228","豆蔻(白豆蔻)",1,3,3
"189","芦荟",1,1,1
"51","坎_(脐带 自费)",5,NA,NA
"214","蜈蚣",2,NA,NA
