蜀羊泉(白英)
玄参
赤芍
豆蔻(白豆蔻)
生决明子
六神曲炭
白花蛇舌草
炒薏苡仁
麦冬
白龙齿
藤梨根
生山楂
熟地黄
太子参
甘草
佩兰(干)
山药(生山药)
茶树根
白茯苓
生丹参
五味子(制)
黄芪
紫苏梗
蜜麸炒白芍
槟榔
莱菔子(炒)
关黄柏
醋鳖甲
蜜麸炒白术
红花
枇杷叶
蜜炙黄芪
薄荷
防风
制半夏(姜半夏)
陈皮
天浆壳
炒牛蒡子
板蓝根
川贝母
北沙参
蜜麸炒僵蚕
蜜炙甘草
黄芩
南沙参
射干
桔梗
柴胡
蜜百部(炙百部)
赭石(代赭石)
肉桂
附子(熟附片)
川牛膝
盐补骨脂
大枣
锁阳
细辛
鹿角
金银花
葛根
紫苏叶(苏叶)
蜜麸炒青皮
女贞子(制)
墨旱莲(旱莲草)
干姜
管花肉苁蓉
巴戟天
牡蛎
党参
当归
知母
升麻
龙骨(先煎)
盐杜仲
仙茅
淫羊藿(仙灵脾)
煅制阳起石
沙苑子(潼疾藜)
天冬
地黄
盐益智仁
制黄精
菟丝子
黄连
煅瓦楞子
花椒
生白芍
炒海螵蛸
(十)姚氏一号方:帖:帖
(十一)姚氏二号方:帖:帖
白果仁
鸡内金炭
川贝母粉
苍耳子(炒)
地龙
辛夷
_苦杏仁
鱼腥草
蜜炙麻黄
桑白皮
光桃仁(_桃仁)
制胆星
南葶苈子
芥子(炒芥子)
苦参
玉竹
乌梢蛇
皂角刺
生栀子(生山栀)
蝉蜕(蝉衣)
徐长卿
(十八)外科六号方:帖:帖
生白术
牡蒿(青蒿)
制乌梅
青连翘
土茯苓
炒蒺藜(白蒺藜)
蒲公英
马齿苋
地肤子
生槐米
佛耳草
炒酸枣仁
川芎
麻黄
白芷
制远志
桂枝
_菜
仙鹤草
荠菜花
蜜麸山药
玉米须
砂仁(阳春砂)
龙葵
栀子(焦山栀)
虎杖
龙胆
蜂房
凤尾草
半枝莲
垂盆草
连钱草(金钱草)
片姜黄
威灵仙
丝瓜络
制苍术
泽兰
六月雪
独活
羌活
制山茱萸(山萸肉)
吴茱萸(制)
络石藤
海风藤
干荷叶
茵陈
伸筋草
绵萆_(萆_)
莪术
煅白螺蛳壳
天麻
蜜麸炒枳实(枳实)
姜汁炒竹茹
石菖蒲
全瓜蒌
制厚朴
水牛角
白扁豆
大青叶
赤小豆
金荞麦(开金锁)
蜜麸炒苍术
生鸡内金
泽泻
牡丹皮
蜜麸炒枳壳(枳壳)
川楝子(炒)
旋覆花
预知子(八月扎)
薏苡仁(米仁)
生大黄
(十二)姚氏3号方:帖:帖
黑大豆
酒制大黄
冬瓜子
石楠叶
枸杞子
续断
厚朴花
夏枯草
郁金(广)
醋龟甲(龟版)
密蒙花
醋延胡索
川佛手
穿心莲
紫石英
鸡血藤
益母草
制香附
秦艽
石膏
粉萆_
百合
淡竹叶
拳参(草河车)
生蒲黄
牛膝(怀牛膝)
前胡
茯神
首乌藤(夜交藤)
乌药
制何首乌
炒稻芽
石斛(川石斛)
茜草
麦芽(炒麦芽)
珍珠母
金沸草(旋覆梗)
金樱子
炒蔓荆子
香橼(蜜麸炒)
紫花地丁
白及
高良姜
槲寄生(桑寄生)
火麻仁
炒决明子
木芙蓉叶
广藿香
猪苓
炒瓜蒌子
鹿衔草(鹿含草)
石韦
蜜炙款冬花
羊乳根
蜜紫菀
西青果
麻黄根
浮小麦
三棱
景天三七
木香
合欢皮
炒车前子
紫贝齿
藿香
小蓟
胡颓子叶
黄芩炭
黄荆子(黄金子)
大蓟
淮小麦
合欢米(合欢花)
炒瓜蒌皮
白茅根
地骨皮
凌霄花
芡实
防已(汉防己)
大腹毛
王不留行(炒)
金雀根
石见穿
山楂(山楂炭)
砂炒鸡内金
灯心草
蜜炙紫苏子
地锦草
钩藤
灵芝
马鞭草
小茴香
炒路路通
莲子
鬼箭羽
芦根(干)
全蝎
大血藤(红藤)
桑叶
磁石(灵磁石)
贯众炭
盐橘核
岗稔根
羊蹄根
菝葜
煅龙骨
天花粉
煅青礞石
煅牡蛎
竹茹
(二十)乳癌术后方:帖:帖
蛇六谷
制没药
生地榆
炒黄连
炒扁豆
三七粉
桑椹(桑椹子)
薤白(野白头)
娑罗子(苏罗子)
罗布麻叶
凤凰衣
玫瑰花
香豆豉(豆豉)
野蔷薇根
卷柏
地耳草(田基黄)
天龙
蛤壳(海蛤壳)
生何首乌
绞股蓝
制南星
鹅不食草
(十七)清肺却脂方:帖:帖
野葡萄藤
白菊花
朱砂拌灯芯草
荆芥
糯稻根
瞿麦
鸭跖草
_蓄
石榴皮
车前草
草蒲黄炭
赤石脂
炒椿皮(椿根皮)
郁李仁
薏苡根
莲子心
炒桑螵蛸
石决明
_莶草
飞琥珀
天名精
胡芦巴
大狼把草
木蝴蝶
佛手花
